No.,Title,Author(s),Language,Game type,Duration,Min. number of players,Max. number of players,Entry threshold,Prerequisites,Link,Hashtags
305,A Place to Fuck Each Other,Avery Mcdaldno,EN,nano-larp,<2h,3,3,2,1,https://stockholmscenariofestival.files.wordpress.com/2016/07/a-place-to-fuck-each-other.pdf,"#LGBT
#relationship
#women"
306,You want it darker,Annika Waern,EN,chamber larp,2-4h,4,8,2,1,https://stockholmscenariofestival.files.wordpress.com/2017/11/you-want-it-darker.pdf,"#cohen
#music"
307,Women,"Susanne Gräslund
Anders Hultman",EN,chamber larp,2-4h,3,3,2,1,https://stockholmscenariofestival.files.wordpress.com/2017/11/women1.pdf,#feminism
308,Dance the Macabray,"Frida Lindegren
Sofia Stenler",EN,chamber larp,2-4h,12,24,3,2,https://stockholmscenariofestival.files.wordpress.com/2017/11/dance-the-macabray-larp-script.pdf,"#10plus
#dance
#ghost"
309,First they came,"Alessandro Giovannucci
Andrea Giovannucci",EN,nano-larp,<2h,3,3,2,1,https://stockholmscenariofestival.files.wordpress.com/2017/11/first-they-came.pdf,#nazism
310,Trans dysphoria blues,Samuel Sjöberg,EN,chamber larp,2-4h,5,5,2,1,https://stockholmscenariofestival.files.wordpress.com/2017/11/trans-dysphoria-blues.pdf,
311,The Last Movie,"Simon Larsson
Björn Thalén",EN,chamber larp,2-4h,4,20,2,2,https://stockholmscenariofestival.files.wordpress.com/2017/11/thelastmovie.pdf,"#texting
#cinema
#10plus"
312,The Home Owner’s Association,Marie Skouenborg,EN,chamber larp,2-4h,4,4,2,1,https://stockholmscenariofestival.files.wordpress.com/2017/11/the-home-owners-association-en-final.pdf,#suburbanlife
313,Sexcraft,"Frida Sofie Jansen
Tor Kjetil Edland",EN,nano-larp,<2h,4,4,2,1,https://stockholmscenariofestival.files.wordpress.com/2017/11/final-script-sexcraft_english_dub.pdf,#comedy
314,Rosenstrasse,"Moyra Turkington
Jessica Hammer",EN,chamber larp,4-6h,4,4,2,1,https://scenariofestival.se/archive/scenarios-2017/rosenstrasse/,"#nazism
#antisemitism
#love"
315,Pretty boys,Lukas Renklint,EN,chamber larp,2-4h,12,22,2,1,https://stockholmscenariofestival.files.wordpress.com/2017/11/pretty-boys-script.pdf,"#feminism
#genderroles
#10plus"
316,Opera Buffa!,Tayler Stokes,EN,nano-larp,<2h,4,6,2,2,https://stockholmscenariofestival.files.wordpress.com/2017/11/stokes-opera-buffa.pdf,"#opera
#music"
317,Nebido – Give life a chance,Caroline Sjövall,EN,chamber larp,2-4h,5,15,2,2,https://stockholmscenariofestival.files.wordpress.com/2017/11/nebido-we-give-life-a-chance2.pdf,"#dehumanisation
#political
#10plus"
318,House of Craving,"Danny Wilson
Tor Kjetil Edland",EN,chamber larp,4-6h,4,4,2,1,https://stockholmscenariofestival.files.wordpress.com/2017/11/house-of-craving.pdf,"#mourning
#psychologicalhorror
#family"
319,The Naked Truth,"Arttu Hanska
Joonas Katko",EN,chamber larp,2-4h,4,4,2,2,https://stockholmscenariofestival.files.wordpress.com/2018/11/the-naked-truth-final.pdf,"#friendship
#sauna"
320,The South Will Rise Again,Jon Back,EN,nano-larp,<2h,5,15,2,2,https://stockholmscenariofestival.files.wordpress.com/2018/12/the-south-will-rise-again-1-0.pdf,"#10plus
#americansouth
#zombie"
321,Among Us,Nina Runa Essendrop,EN,chamber larp,4-6h,3,3,2,1,https://scenariofestival.se/archive/scenarios-2018/among-us/,
322,Birkenau,Jonas Sandberg Jensen,EN,chamber larp,2-4h,4,4,2,2,https://stockholmscenariofestival.files.wordpress.com/2018/11/birkenau_uk.pdf,"#jews
#antisemitism
#war
#historical"
323,Decamerone – the road to salvation,Anna-Karin Linder,EN,chamber larp,2-4h,11,11,2,2,https://stockholmscenariofestival.files.wordpress.com/2018/11/decamerone-larp-script.pdf,"#10plus
#boccaccio"
324,Flowers on Swan Road,Jorgo Kapow ,EN,chamber larp,2-4h,4,4,2,1,https://stockholmscenariofestival.files.wordpress.com/2018/11/flowers-on-swan-road-stockholm-scenario-festival-2018.pdf,
325,Gone,Klaus Meier Olsen ,EN,chamber larp,2-4h,4,4,2,1,https://stockholmscenariofestival.files.wordpress.com/2018/11/gone.pdf,"#dementia
#family"
326,Here Is My Power Button,Brodie Atwater,EN,chamber larp,2-4h,8,16,2,2,https://stockholmscenariofestival.files.wordpress.com/2018/11/himpb-v-2-1.pdf,"#AI
#10plus"
327,"Hobbyhorse
",Nynne Søs Rasmussen,EN,chamber larp,2-4h,3,3,2,1,https://stockholmscenariofestival.files.wordpress.com/2018/11/hobbyhorse_english.pdf,#teens
328,Innocence,Nina Runa Essendrop ,EN,chamber larp,2-4h,7,15,2,1,https://stockholmscenariofestival.files.wordpress.com/2018/11/innocence-by-nina-runa-essendrop.pdf,#10plus
329,Kobanî,Signe Hertel,EN,chamber larp,2-4h,4,4,2,1,https://stockholmscenariofestival.files.wordpress.com/2018/11/kobani_fastavalscenarie-2018_english.pdf,"#war
#women"
330,Midsummer,Mikkel Bækgaard,EN,chamber larp,2-4h,4,4,2,1,https://stockholmscenariofestival.files.wordpress.com/2018/11/midsomer-english-final.pdf,"#family
#mourning
#supernatural"
331,Spellbound,"Maria Bergmann Hamming
Jeppe Bergmann Hamming",EN,chamber larp,2-4h,10,30,2,1,https://scenariofestival.se/archive/scenarios-2018/spellbound/,"#mithological
#10plus"
332,Strangers,Nina Runa Essendrop ,EN,chamber larp,2-4h,8,18,2,2,https://stockholmscenariofestival.files.wordpress.com/2018/11/strangers-by-nina-runa-essendrop.pdf,"#nonverbal
#immigration
#10plus"
333,2028,Katrine Wind,EN,freeform,4-6h,4,4,2,1,https://stockholmscenariofestival.files.wordpress.com/2019/09/2028_katrine-wind_fastaval-2019_english.pdf,#apocalyptic
334,A Family Matter,Nick Huggins,EN,chamber larp,---,25,25,2,2,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=17&category_id=8&manufacturer_id=0&option=com_virtuemart&Itemid=39,"#family
#occult
#horror
#10plus"
335,Class Of '83,Nick Huggins,EN,chamber larp,---,20,20,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=21&category_id=8&manufacturer_id=0&option=com_virtuemart&Itemid=39,"#schoolreunion
#horror
#10plus"
336,Communing In Darkness,Nick Huggins,EN,chamber larp,---,7,7,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=161&category_id=8&manufacturer_id=0&option=com_virtuemart&Itemid=39,"#seance
#ghost
#20s"
337,Dance Fandango,Sandra Duggan,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=227&category_id=8&manufacturer_id=0&option=com_virtuemart&Itemid=39,#ball
338,Elevator,Nick Huggins,EN,chamber larp,---,6,6,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=34&category_id=8&manufacturer_id=0&option=com_virtuemart&Itemid=39,#elevator
339,"I'm a Psychic, Get Me Out Of Here!",Baz Nugent,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=168&category_id=8&manufacturer_id=0&option=com_virtuemart&Itemid=39,"#ghost
#realityshow"
340,LIFTERS,Mike Craughwell,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=214&category_id=8&manufacturer_id=0&option=com_virtuemart&Itemid=39,
341,Nine Tenths of the Law,Fergal O'Brien,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=186&category_id=8&manufacturer_id=0&option=com_virtuemart&Itemid=39,
342,Passover,Damien Kelly,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=155&category_id=8&manufacturer_id=0&option=com_virtuemart&Itemid=39,"#armaggedon
#angels
#demons
#christianity"
343,The Salem Witch Trials,Aidan Welsh,EN,chamber larp,---,25,25,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=70&category_id=8&manufacturer_id=0&option=com_virtuemart&Itemid=39,"#witchcraft
#trial
#cthulhu
#10plus"
344,Vampire the Requiem,Sandra Duggan,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=233&category_id=8&manufacturer_id=0&option=com_virtuemart&Itemid=39,"#vampire
#WOD
"
345,APE,Baz Nugent,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=213&category_id=163&manufacturer_id=0&option=com_virtuemart&Itemid=39,
346,iSpy,Sandra Duggan,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=225&category_id=163&manufacturer_id=0&option=com_virtuemart&Itemid=39,"#spy
#exam"
347,End Is Nigh,Sandra Duggan,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=226&category_id=163&manufacturer_id=0&option=com_virtuemart&Itemid=39,"#apocalyptic
"
348,iSpy2,Sandra Duggan,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=234&category_id=163&manufacturer_id=0&option=com_virtuemart&Itemid=39,"#spy
#exam"
349,Pandora,Sandra Duggan,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=262&category_id=163&manufacturer_id=0&option=com_virtuemart&Itemid=39,"#mythology
#worldofdarkness
"
350,Night At The Office,Sandra Duggan,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=230&category_id=163&manufacturer_id=0&option=com_virtuemart&Itemid=39,
351,Blood at Stake,Ian Power,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=293&category_id=26&manufacturer_id=0&option=com_virtuemart&Itemid=39,
352,Carribean Cruise,"Gavin Crosbie
Fiachra Kelly",EN,chamber larp,---,36,36,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=113&category_id=26&manufacturer_id=0&option=com_virtuemart&Itemid=39,"#10plus
#naval"
353,GUBU D'Genesis,Baz Nugent,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=172&category_id=26&manufacturer_id=0&option=com_virtuemart&Itemid=39,#urbanfantasy
354,Red Tape,Sandra Duggan,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=224&category_id=26&manufacturer_id=0&option=com_virtuemart&Itemid=39,
355,The Brethern's Soup Kitchen,Baz Nugent,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=256&category_id=26&manufacturer_id=0&option=com_virtuemart&Itemid=39,
356,"The People Vs Almighty,The",Baz Nugent,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=169&category_id=26&manufacturer_id=0&option=com_virtuemart&Itemid=39,
357,Ides Of March,"Claire Bradley
Mary Killgarriff",EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=87&category_id=53&manufacturer_id=0&option=com_virtuemart&Itemid=39,#ancient
358,A Shout in the Dark,Nick Huggins,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=284&category_id=89&manufacturer_id=0&option=com_virtuemart&Itemid=39,#fantasy
359,Call of the Wild Hunt,"Stephen Kennealy
Aidan Marsh",EN,chamber larp,---,14,16,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=288&category_id=89&manufacturer_id=0&option=com_virtuemart&Itemid=39,#10plus
360,Forever Autumn,"Fergal O'Brien
Oli Bird",EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=110&category_id=89&manufacturer_id=0&option=com_virtuemart&Itemid=39,#L5R
361,Heritage - Ancient Evil,Nick Huggins,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=218&category_id=89&manufacturer_id=0&option=com_virtuemart&Itemid=39,#fantasy
362,Heritage - Dreaming a Better Tomorrow,Nick Huggins,EN,chamber larp,---,10,10,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=259&category_id=89&manufacturer_id=0&option=com_virtuemart&Itemid=39,#fantasy
363,Heritage - The Enemy At The Table,Nick Huggins,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=219&category_id=89&manufacturer_id=0&option=com_virtuemart&Itemid=39,#fantasy
364,Amnesia,Nick Huggins,EN,chamber larp,---,25,25,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=166&category_id=11&manufacturer_id=0&option=com_virtuemart&Itemid=39,#10plus
365,Dragon In The Poplars,Meg Hilko,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=187&category_id=11&manufacturer_id=0&option=com_virtuemart&Itemid=39,
366,Dune (the LARP),Gan Hanragan,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=46&category_id=11&manufacturer_id=0&option=com_virtuemart&Itemid=39,#dune
367,Dune: LARP,Gan Hanragan,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=47&category_id=11&manufacturer_id=0&option=com_virtuemart&Itemid=39,#dune
368,Homeworld,Brian Nisbet,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=86&category_id=11&manufacturer_id=0&option=com_virtuemart&Itemid=39,"#SF
#spaceopera"
369,In Absentia,Nick Huggins,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=145&category_id=11&manufacturer_id=0&option=com_virtuemart&Itemid=39,"#SF
#trial"
370,Spacehounds and Shapeshifters,Cian O'Sullivan,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=275&category_id=11&manufacturer_id=0&option=com_virtuemart&Itemid=39,#werewolf
371,The Fall Chapter 2 - Ship In A Bottle,Nick Huggins,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=206&category_id=11&manufacturer_id=0&option=com_virtuemart&Itemid=39,"#SF
#spaceopera"
372,The Fall Chapter 3 - Cat and Mouse,Nick Huggins,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=207&category_id=11&manufacturer_id=0&option=com_virtuemart&Itemid=39,"#SF
#spaceopera"
373,The Fall Chapter Four - An Artificial Interlude,Nick Huggins,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=208&category_id=11&manufacturer_id=0&option=com_virtuemart&Itemid=39,#SF
374,Under the Hammer,Shane O'hUid,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=193&category_id=11&manufacturer_id=0&option=com_virtuemart&Itemid=39,#SF
375,Vox,Nick Huggins,EN,chamber larp,---,99,99,---,---,http://www.irishgaming.com/index.php?page=shop.product_details&flypage=shop.flypage&product_id=20&category_id=11&manufacturer_id=0&option=com_virtuemart&Itemid=39,"#SF
#spaceopera"
376,"At Arm’s-Length",Tayler Stokes,EN,jeepform,<2h,5,5,1,1,http://www.goldencobra.org/pdf/2017/At%20Arm's-Length%20-%20TStokes.pdf,"#men
#relationship"
377,Among The Mortals,Randy Lubin,EN,nano-larp,<2h,2,2,2,1,http://www.goldencobra.org/pdf/2017/Among%20the%20Mortals%20-%20RLubin.pdf,
378,"Alchemy (and Feelings)",Eleanor Tursman,EN,nano-larp,<2h,2,2,2,1,http://www.goldencobra.org/pdf/2017/alchemy_and_feelings_ETursman.pdf,"#alchemy
#relathionships"
379,Cryptid Couples Counselling,Luke Hawksbee,EN,nano-larp,<2h,2,2,2,1,http://www.goldencobra.org/pdf/2017/Cryptid%20Couples%20Counselling%20Gatefold%20Booklet-LHawksbee.pdf,"#work
#office"
380,Canned,Alex Rowland,EN,nano-larp,<2h,5,7,2,2,http://www.goldencobra.org/pdf/2017/Canned-ARowland.pdf,"#fantasy
#relationship"
381,Campfire Magic,Elizabeth Stong,EN,nano-larp,<2h,2,6,1,1,http://www.goldencobra.org/pdf/2017/Campfire%20Magic-LStrong.pdf,
382,Burning4,Lorenzo Trenti,EN,nano-larp,<2h,2,5,1,1,http://www.goldencobra.org/pdf/2017/Burning4%20-%20Golden%20Cobra%20Challenge%202017-LTrenti.pdf,
383,Beastfucker: A Game of Duty and Fertility,"Julian Hyde
Wendy Gorman",EN,nano-larp,<2h,2,5,2,1,http://www.goldencobra.org/pdf/2017/Beastfucker-JHyde%20WGorman.pdf,#horror
384,Dirty Laundry ,Jason Louis Feldstei,EN,nano-larp,<2h,4,10,2,2,http://www.goldencobra.org/pdf/2017/Dirty%20Laundry%20v4%20Final-JFeldstein.pdf,#family
385,Down The Line,Laura Wood,EN,nano-larp,<2h,3,5,1,1,http://www.goldencobra.org/pdf/2017/Down%20the%20Line-LWood.pdf,#friendship
386,Gran Corazon Unmasked In The Main Event!,Jeff Stormer,EN,freeform,<2h,2,10,2,1,http://www.goldencobra.org/pdf/2017/Gran%20Corazon%20Unmasked%20In%20The%20Main%20Event!JStormer.pdf,
387,Homunculus,Anna Kreider,EN,nano-larp,<2h,4,6,2,1,http://www.goldencobra.org/pdf/2017/Homunculus%20-%20AKreider.pdf,"#death
#relationship"
388,hoʊˈmʌŋkjʊləs,Clark B. Timmins,EN,freeform,<2h,99,99,1,1,http://www.goldencobra.org/pdf/2017/Homunculus-CTimmins.pdf,
389,"The Hydra Artist’s Masterpiece: Mourning Acid Breath","Kitty Stoholski",EN,freeform,<2h,5,6,2,1,http://www.goldencobra.org/pdf/2017/The%20Hydra%20Artist's%20Masterpiece-KStoholski.pdf,#family
390,Back of Beyond,J. Walton,EN,freeform,<2h,5,15,2,1,http://www.goldencobra.org/pdf/2017/backofbeyond-JWalton.pdf,"#10plus
#relationship"
391,"Our Friday Night: A Game for Best Friends","Carrie Deal",EN,nano-larp,<2h,3,5,1,1,http://www.goldencobra.org/pdf/2017/Our%20Friday%20Night%20(A%20Game%20For%20Best%20Friends)-CDeal.pdf,#friendship
392,One Year,"Jenn Martin
Todd Nicholas",EN,freeform,<2h,5,10,2,1,http://www.goldencobra.org/pdf/2017/One%20Year-JMartinTNicholas.pdf,
393,The League Of Senseless Superheroes ,"Clint Ladd",EN,nano-larp,<2h,3,5,2,1,http://www.goldencobra.org/pdf/2017/The%20League%20of%20Senseless%20Superheroes%209-18-17-CLadd.pdf,#kpop
394,"The Long Drive Back from Busan",Clio Yun-su Davis,EN,nano-larp,<2h,5,7,2,1,http://www.goldencobra.org/pdf/2017/The%20Long%20Drive%20Back%20from%20Busan-CDavis.pdf,#superheroes
395,"No Fascist USA!","Kate Hill
Chris Dragga",EN,nano-larp,<2h,4,4,2,1,http://www.goldencobra.org/pdf/2017/No_fascist_USA%20-%20KHill%20and%20CDragga.pdf,"#activism
#political"
396,May-December-May,Paul Beakley,EN,nano-larp,<2h,2,2,2,1,http://www.goldencobra.org/pdf/2017/May-December-May%20-%20PBeakley.pdf,#generationgap
397,"Long Time Listener, Last Time Caller",Jeff Dieterle,EN,freeform,<2h,4,10,2,1,http://www.goldencobra.org/pdf/2017/long_time_listener_last_time_caller.pdf,#apocalyptic
398,White Sheet,"Francesco Rugerfred Sedda
Beatrice Sgaravatto",EN,freeform,<2h,4,10,2,1,http://www.goldencobra.org/pdf/2017/White%20Sheet%20-%20F%20R%20Sedda%20and%20B%20Sgaravatto.pdf,"#literature
#writing"
399,The Way Of The Couch,Guilherme DR,EN,freeform,<2h,2,6,2,1,http://www.goldencobra.org/pdf/2017/TheWayOfTheCouch%20-%20GRodrigues.pdf,#journey
400,Under A Broken Flag,Jefferson Lee,EN,freeform,<2h,99,99,2,1,http://www.goldencobra.org/pdf/2017/under-a-broken-flag-v1.pdf,#political
401,Party of One,Martin Tegelj,EN,freeform,<2h,3,4,2,1,http://www.goldencobra.org/pdf/2017/Party%20of%20One-MTegelj.pdf,#timetravel
402,Rev It Up,Tim Hutchings,EN,freeform,<2h,99,99,2,1,http://www.goldencobra.org/pdf/2017/RevItUp-THutchings.pdf,#bikers
403,Troll,Jack Graham,EN,jeepform,<2h,2,2,2,1,http://www.goldencobra.org/pdf/2017/troll-JGraham.pdf,"#political
#war"
404,"To Abu Sami: Wages of Devastation",Evan Torner,EN,chamber larp,2-4h,4,8,2,3,http://www.goldencobra.org/pdf/2017/To_Abu_Sami-ETorner.pdf,"#revenge
#internet"
405,Sad reflection,Luca Fabbricotti,EN,chamber larp,---,5,6,2,1,http://www.flyingcircus.it/?p=1316,#hypnosis
406,L’uso del lupo,Lorenzo Trenti,IT,chamber larp,---,4,5,2,1,http://www.flyingcircus.it/?p=1294,
407,Cena in famiglia,"Dave Cleaver
IT: Lorenzo Trenti",IT,chamber larp,---,4,4,2,1,http://www.flyingcircus.it/?p=1220,#family
408,Il ritorno del cavaliere,"Dave Cleaver
IT: Lorenzo Trenti",IT,nano-larp,---,3,3,2,1,http://www.flyingcircus.it/?p=1215,#fantasy
409,Siamo gli unici rimasti,"Marc Majcher
IT: Lorenzo Trenti",IT,nano-larp,---,2,2,2,1,http://www.flyingcircus.it/?p=1183,"#apocalyptic
#zombie"
410,Illuminati: Nuovo Disordine Mondiale,"Jason Simes
Shane Clements
IT: Daniele Lostia",IT,chamber larp,---,20,25,2,2,http://www.flyingcircus.it/?p=1160,"#10plus
#political
#conspiracy"
411,[Tribe8] L’abbraccio di Tera-Sheba,Daniele Lostia,IT,chamber larp,---,15,15,2,2,http://www.flyingcircus.it/?p=1155,"#10plus
#postapo"
412,Nepenthe,"Bruce Galassco
Maurice Manton
Penny Robinson",IT,chamber larp,---,13,13,2,2,http://www.flyingcircus.it/?p=1147,"#10plus
#D&D"
413,Supporto tecnico,"James Mullen
IT: Francesco Sedda",IT,nano-larp,---,2,2,2,1,http://www.flyingcircus.it/?p=1095,
414,Happy Hour,Andrea Castellani,IT,chamber larp,,8,8,2,1,http://www.flyingcircus.it/?p=1023,
415,4-3,"Oscar Biffi
Alessandro Giovannuci",EN,nano-larp,<2h,7,11,2,1,http://www.goldencobra.org/pdf/2018/Biffi%20Giovannucci%20-%204-3.pdf,"#10plus
#soccer"
416,Alien Diplomacy,"Krin Irvine
Venn Wylde",EN,nano-larp,---,2,99,2,1,http://www.goldencobra.org/pdf/2018/Irvine%20and%20Wylde%20--%20Alien%20Diplomacy.pdf,"#political
#SF"
417,Amuse Bouche,Betty Bong,EN,freeform,---,99,99,2,1,http://www.goldencobra.org/pdf/2018/Bong%20--%20Amuse%20Bouche%20larp.pdf,"#literature
#art"
418,At Infinity,Anne Ratchat,EN,freeform,2-4h,2,99,2,1,http://www.goldencobra.org/pdf/2018/Ratchat%20--%20At%20Infinity.pdf,"#relationship
#drawing"
419,At the end of the river,Kamil Bartczak,EN,nano-larp,<2h,1,2,2,3,http://www.goldencobra.org/pdf/2018/Bartczak%20--%20At%20the%20End%20of%20the%20River.pdf,"#death
#mourning
#family"
420,Benefits & Bureaucrats,Michael Such,EN,freeform,<2h,20,100,2,2,http://www.goldencobra.org/pdf/2018/Such%20-%20Benefits%20Bureaucrats.pdf,"#10plus
#fantasy"
421,The Brett Kavanaugh's Calendar Game,Aukey Wikoff,EN,freeform,---,2,7,2,1,http://www.goldencobra.org/pdf/2018/Wikoff%20--%20The%20Brett%20Kavanaugh%20Calendar%20Game.pdf,#highschool
422,The Circle of Heaven,Mark L. S. Stone,EN,freeform,2-4h,5,10,2,2,http://www.goldencobra.org/pdf/2018/Stone%20--%20The%20Circle%20of%20Heaven.pdf,#mythology
423,The Clinic,Caroline Hobbs,EN,freeform,---,99,99,2,2,http://www.goldencobra.org/pdf/2018/Hobbs%20-%20The%20Clinic.pdf,"#abortion
#medical"
424,"Cram",Caroline Hobbs,EN,freeform,---,99,99,2,2,http://www.goldencobra.org/pdf/2018/Stong%20--%20Cram.pdf,#college
425,Dim Sum? More Like Git Sum!,Ross Cheung,EN,freeform,---,2,20,2,1,http://www.goldencobra.org/pdf/2018/Cheung%20--%20Dim%20Sum%20the%20larp.pdf,"#10plus
#family"
426,Dinner for Amateur Mind Readers,"Chad Wolf",EN,freeform,---,2,20,2,1,http://www.goldencobra.org/pdf/2018/Wolf%20-%20Dinner%20for%20Amateur%20Mind%20Readers.pdf,"#10plus
#comedy"
427,Dream a Little Dream,"Joe Beason",EN,freeform,---,4,8,2,1,http://www.goldencobra.org/pdf/2018/Beason%20--%20Dream%20a%20Little%20Dream.pdf,#dreams
428,Dungeons and Drudges,Robbie Boerth,EN,nano-larp,<2h,2,7,2,1,http://www.goldencobra.org/pdf/2018/Boerth%20--%20Dungeons%20and%20Drudges.pdf,"#D&D
#fantasy"
429,Egg-Eating Rabbits,Tim Hutchings,EN,freeform,---,99,99,2,2,http://www.goldencobra.org/pdf/2018/Hutchings%20-%20Egg-Eating%20Rabbits.pdf,#10plus
430,Elf Day,Jason Morningstar,EN,freeform,<2h,2,20,2,2,http://www.goldencobra.org/pdf/2018/Morningstar%20--%20Elf%20Day.pdf,"#10plus
#fantasy"
431,The Face In The Mirror Is Not Your Own,Garett Kopczynski ,EN,freeform,2-4h,2,10,2,1,http://www.goldencobra.org/pdf/2018/Kopczynski%20--%20The%20Face%20in%20the%20Mirror%20is%20Not%20Your%20Own.pdf,"#alien
#SF"
432,The Forest of Tamtonas,"Alex McConnaughey
Adam McConnaughey",EN,freeform,---,99,99,2,1,http://www.goldencobra.org/pdf/2018/McConnaughey%20--%20The%20Forest%20of%20Tamtonas.pdf,#fantasy
433,"Fork Creek Almanac","Alex Dodge
Matt Jent",EN,freeform,---,5,20,2,1,http://www.goldencobra.org/pdf/2018/Dodge%20and%20Jent%20-%20Fork%20Creek%20Almanac.pdf,"#10plus
#ghost
#memories"
434,Friends and Memories,Jose Zagal.,EN,chamber larp,2-4h,3,7,2,2,http://www.goldencobra.org/pdf/2018/Zagal%20--%20Friends%20and%20Memories.pdf,#friendship
435,"The Affliction
", Jeffrey Dieterle,EN,freeform,<2h,4,4,2,1,http://www.goldencobra.org/pdf/2015/The%20Affliction_JeffreyDieterle.pdf,#medical
436,"Anything Helps
",Matt Bohnhoff,EN,other,---,1,1,2,2,http://www.goldencobra.org/pdf/2015/AnythingHelps-GoldenCobra_MattBonhoff.pdf,#homeless
437,As we know it,Alex Carlson,EN,freeform,<2h,4,4,1,1,http://www.goldencobra.org/pdf/2015/Asweknowit_AlexCarlson.pdf,#apocalyptic
438,"Before you leave
","Khelren
Steve Jakoubovitch",EN,freeform,2-4h,2,2,1,1,http://www.goldencobra.org/pdf/2015/Before%20you%20leave_KhelrenandSteveJakoubovitch.pdf,"#ghost
#love"
